snapshot_date,project_id,dataset_name,table_name,table_type,storage_last_modified_time,total_logical_tb,project_logical_tb,percentage_of_project_logical_tb,billing_model,last_queried,storage_last_modified_date,cost_per_month,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20250415,BASE TABLE,2025-04-15 16:10:30.597000 UTC, 0.00000000878936 , 0.00092930560550 , 0.00094579831930 ,LOGICAL,20/10/2025,15/04/2025, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240917,BASE TABLE,2024-09-17 16:13:32.308000 UTC, 0.00000000877662 , 0.00367398529670 , 0.00023888565586 ,LOGICAL,20/10/2025,17/09/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20250602,BASE TABLE,2025-06-02 22:26:54.496000 UTC, 0.00000000876025 , 0.00092930560550 , 0.00094266653679 ,LOGICAL,20/10/2025,02/06/2025, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240822,BASE TABLE,2024-08-22 11:08:16.877000 UTC, 0.00000000875934 , 0.00367398529670 , 0.00023841531104 ,LOGICAL,20/10/2025,22/08/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20241212,BASE TABLE,2024-12-12 17:30:33.056000 UTC, 0.00000000875661 , 0.00367398529670 , 0.00023834104607 ,LOGICAL,20/10/2025,12/12/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20240807,BASE TABLE,2024-08-07 12:30:15.046000 UTC, 0.00000000875389 , 0.00092930560550 , 0.00094198145936 ,LOGICAL,20/10/2025,07/08/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20240129,BASE TABLE,2024-01-29 17:20:50.595000 UTC, 0.00000000874661 , 0.00092930560550 , 0.00094119851373 ,LOGICAL,20/10/2025,29/01/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20240531,BASE TABLE,2024-05-31 14:38:27.804000 UTC, 0.00000000873933 , 0.00092930560550 , 0.00094041556810 ,LOGICAL,20/10/2025,31/05/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20240116,BASE TABLE,2024-01-16 12:54:39.538000 UTC, 0.00000000869750 , 0.00367398529670 , 0.00023673197171 ,LOGICAL,20/10/2025,16/01/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20240802,BASE TABLE,2024-08-02 09:01:24.860000 UTC, 0.00000000867658 , 0.00092930560550 , 0.00093366266206 ,LOGICAL,20/10/2025,02/08/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20240806,BASE TABLE,2024-08-06 22:47:13.892000 UTC, 0.00000000861928 , 0.00092930560550 , 0.00092749696523 ,LOGICAL,20/10/2025,06/08/2024, $0.00 ,
03/11/2025,bt-con-digital-dp-prep-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20230928,BASE TABLE,2023-09-28 18:24:45.073000 UTC, 0.00000000857472 , 0.00367398529670 , 0.00023339004802 ,LOGICAL,20/10/2025,28/09/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_activity_20230913,BASE TABLE,2023-09-13 15:39:00.183000 UTC, 0.00000000851833 , 0.00092930560550 , 0.00091663359464 ,LOGICAL,20/10/2025,13/09/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-data,cons_housekeeping,housekeeping_product_master_proc,BASE TABLE,2025-06-09 17:24:05.083000 UTC, 0.00000000847649 , 0.00000015948899 , 5.31478102189781 ,LOGICAL,20/10/2025,09/06/2025, $0.00 ,
03/11/2025,bt-con-common-data,cons_ccn_common_policy_tkn_rw,ee_mobile_restriction_types,BASE TABLE,2023-11-24 05:59:13.181000 UTC, 0.00000000843647 , 28.37440998591500 , 0.00000002973268 ,LOGICAL,20/10/2025,24/11/2023, $0.00 ,
03/11/2025,bt-con-common-data,cons_ccn_common_policy_tkn_stg,w_ee_mobile_restriction_types,BASE TABLE,2023-12-01 05:58:50.587000 UTC, 0.00000000843647 , 28.37440998591500 , 0.00000002973268 ,LOGICAL,20/10/2025,01/12/2023, $0.00 ,
03/11/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,operations_20250606,BASE TABLE,2025-06-06 14:36:08.597000 UTC, 0.00000000843556 , 0.00092930560550 , 0.00090772758811 ,LOGICAL,20/10/2025,06/06/2025, $0.00 ,
