snapshot date,project id,dataset name,table name,table type,storage last modified time,total logical tb,project logical tb,percentage of project logical tb,billing model,last queried,table creation date,statement type,user email,user type
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231018,BASE TABLE,2023-10-18 04:01:28.457000 UTC, 0.0000002 , 0.003553 ,0.64%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231018,BASE TABLE,2023-10-18 14:11:49.519000 UTC, 0.0000000 , 0.010443 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231018,BASE TABLE,2023-10-19 00:03:57.556000 UTC, 0.0000001 , 0.000901 ,0.70%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_data,cloudaudit_googleapis_com_data_access_20231019,BASE TABLE,2023-10-19 03:01:18.674000 UTC, 0.0000000 , 0.000076 ,3.73%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,operations_20231019,BASE TABLE,2023-10-19 03:01:51.694000 UTC, 0.0000000 , 0.003553 ,0.01%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-test-ops,audit_log_sink_proc,operations_20231019,BASE TABLE,2023-10-19 03:01:52.590000 UTC, 0.0000000 , 0.000076 ,0.10%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-dev-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231019,BASE TABLE,2023-10-19 03:16:19.178000 UTC, 0.0000003 , 0.000901 ,3.45%,LOGICAL,< 2025-08-20,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,operations_20231019,BASE TABLE,2023-10-19 04:01:13.116000 UTC, 0.0000000 , 0.010443 ,0.00%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231019,BASE TABLE,2023-10-19 04:01:13.874000 UTC, 0.0000000 , 0.010443 ,0.02%,LOGICAL,08/09/2025,,,,
20/10/2025,bt-con-digital-dp-prep-ops,audit_log_sink_proc,cloudaudit_googleapis_com_data_access_20231019,BASE TABLE,2023-10-19 04:01:14.455000 UTC, 0.0000002 , 0.003553 ,0.64%,LOGICAL,08/09/2025,,,,
